,#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_name,total_subscribers,total_views,total_videos
62,63,Prajapati News @UCl_Ksy6Yi1b4eEZ46FInb_w,16.1M,-,India,,4.8M,Prajapati News,17300000,1067882020,1760
63,64,Zappy Toons - Hindi Nursery Rhymes and Stories @UCcryiZdagSR9M-Oii_Y4OfQ,15.9M,-,India,,4.8M,ZappyToons - Hindi Nursery Rhymes and Stories,21400000,9759587874,559
64,65,Aayu and Pihu Show @UCFcBAGR0drI3F15EhMFjuTg,15.8M,0.40%,India,Celebrity,4.7M,Aayu and Pihu Show,18000000,10676303050,558
65,66,RKD Studios @UCjBwQ6M9QyCgO5Pp-TQRFUA,15.7M,-,India,Video Gaming,4.7M,RKD Studios,23500000,5907124066,959
66,67,And TV @UCxJcrDUc8awRSLzLbnIiAmQ,15.7M,-,India,,4.7M,And TV,22000000,19581851609,50085
67,68,SriBalajiMovies @UCoy3dQzEdq1y2zMnT4pdj3Q,15.5M,-,India,,4.7M,SriBalajiMovies,18800000,10968600198,26085
68,69,Taarak Mehta Ka Ooltah Chashmah @UCnSFZ-olBoLGLRUS_3RI2Aw,15.2M,-,India,,4.6M,Taarak Mehta Ka Ooltah Chashmah,24200000,19169466727,10669
69,70,NDTV India @UC9CYT9gSNLevX5ey2_6CK0Q,15.1M,-,India,,4.5M,NDTV India,17400000,7930740985,124847
70,71,Volga Video @UCIeNlITYK46VkR7yIuTL8GQ,15M,-,India,,4.5M,Volga Video,16700000,9011884094,6158
71,72,Harsh Beniwal @UCVmEbEQUGXHVm-O9pqa3JWg,15M,10.30%,India,,4.5M,Harsh Beniwal,16000000,1953527592,169
72,73,Fun For Kids TV - Hindi Rhymes @UCe3GjNY3Kqi8Xd6nT4JN_6w,14.5M,-,India,,4.4M,Fun For Kids TV - Hindi Rhymes,19900000,8884459465,195
73,74,Gyan Gamingㅤ @UChXi_PlJkRMPYFQBOJ3MpxA,14.4M,-,India,Video Gaming,4.3M,Gyan Gamingㅤ,16500000,2623124695,3790
74,75,Team Films Bhojpuri @UCB4SvelHl4qjFSNYfxhp-SQ,14.4M,-,India,,4.3M,Team Films Bhojpuri,16400000,6866292648,20094
75,76,Shorts Break @UCgJ5_1F6yJhYLnyMszUdmUg,14.3M,4.30%,India,,4.3M,Shorts Break,41400000,28845488643,639
76,77,SRK MUSIC @UCAH1Aw-mXgcB3t8uaqW4yTA,14.2M,-,India,,4.3M,SRK MUSIC,17300000,7168575099,5287
77,78,Mazhavil Manorama @UCUPD0jQo-EP0B1Nf4uzeIMA,14M,-,India,,4.2M,Mazhavil Manorama,18700000,20635511444,112587
78,79,DM - Desi Melodies @UC783dnzJqf2ghHp_pFLYbGA,14M,-,India,,4.2M,DM - Desi Melodies,19400000,6968020542,199
79,80,ZEE5 @UCXOgAl4w-FQero1ERbGHpXQ,13.9M,-,India,,4.2M,ZEE5,15800000,20439291649,133481
80,81,Sony Music South @UCn4rEMqKtwBQ6-oEwbd4PcA,13.8M,-,India,,4.1M,Sony Music South,17500000,12727076225,3573
81,82,MY FAMILY @UC4B6dDVB0Umrh5l4UgxUtyg,13.8M,0.10%,India,Celebrity,4.1M,MY FAMILY,17300000,6895159058,339
82,83,Online Job @UCL3IoeeHKzWMxZxhmnmETjw,13.5M,-,India,,4.1M,Online Job,13600000,522971567,1179
83,84,infobells @UCU_AsfgtKjwR4qaSwgsWn-w,13.5M,-,India,,4.1M,infobells,14300000,5538242076,592
84,85,The MriDul @UC0zXnLIFedO97pFsyMxZcFg,13.3M,-,India,,4M,The MriDul,17700000,5446260249,200
